"name_comuna","cod_com","sovi","vulnerablidad"
"Maule",7105,-2.40061940239656,"Medio-baja"
"Pelarco",7106,4.99693440359447,"Medio-alta"
"Pencahue",7107,-0.864391548379044,"Medio-baja"
"Rio Claro",7108,1.76116377756911,"Medio-alta"
"San Clemente",7109,2.85837325184632,"Medio-alta"
"San Rafael",7110,1.19280761382791,"Medio-alta"
"Cauquenes",7201,2.21967473548333,"Medio-alta"
"Chanco",7202,15.3773440291843,"Alta"
"Pelluhue",7203,2.81235232036137,"Medio-alta"
"Curico",7301,-7.33541791884471,"Medio-baja"
"Hualane",7302,3.3464658602834,"Medio-alta"
"Licanten",7303,0.293706035963921,"Medio-alta"
"Molina",7304,-0.176335203179844,"Medio-baja"
"Rauco",7305,3.85027074502692,"Medio-alta"
"Romeral",7306,0.802006917152453,"Medio-alta"
"Sagrada Familia",7307,1.70445100644485,"Medio-alta"
"Teno",7308,1.18966510712791,"Medio-alta"
"Vichuquen",7309,-0.921830417976432,"Medio-baja"
"Linares",7401,-3.67418374780521,"Medio-baja"
"Colbun",7402,4.65035585762321,"Medio-alta"
"Longavi",7403,7.53895112590337,"Medio-alta"
"Parral",7404,0.588545461924806,"Medio-alta"
"Retiro",7405,7.02657556468541,"Medio-alta"
"San Javier",7406,2.46146621000468,"Medio-alta"
"Villa Alegre",7407,2.47822649541138,"Medio-alta"
"Yerbas Buenas",7408,5.96539818456117,"Medio-alta"
"Concepcion",8101,-15.5322957040817,"Baja"
"Coronel",8102,-5.35307250536168,"Medio-baja"
"Chiguayante",8103,-10.8145884057518,"Medio-baja"
"Florida",8104,4.35682714569042,"Medio-alta"
"Hualqui",8105,0.342635706064552,"Medio-alta"
"Lota",8106,-1.09808192982281,"Medio-baja"
"Penco",8107,-5.16020523622012,"Medio-baja"
"San Pedro de la Paz",8108,-11.1708855260486,"Medio-baja"
"Santa Juana",8109,4.38635170090036,"Medio-alta"
"Talcahuano",8110,-10.0959105237679,"Medio-baja"
"Tome",8111,-4.98482575130105,"Medio-baja"
"Hualpen",8112,-9.00159054718273,"Medio-baja"
"Lebu",8201,2.05978345119211,"Medio-alta"
"Arauco",8202,-0.579681385852958,"Medio-baja"
"Canete",8203,6.46332470709378,"Medio-alta"
"Contulmo",8204,7.72754948238959,"Medio-alta"
"Curanilahue",8205,-4.35635633031314,"Medio-baja"
"Los Alamos",8206,2.6069391699609,"Medio-alta"
"Tirua",8207,18.5553047180937,"Alta"
"Los Angeles",8301,-4.04914810304319,"Medio-baja"
"Antuco",8302,6.04569759508622,"Medio-alta"
"Cabrero",8303,-2.50991887809922,"Medio-baja"
"Laja",8304,1.56528678817493,"Medio-alta"
"Mulchen",8305,3.29674517722672,"Medio-alta"
"Nacimiento",8306,-0.806795328334377,"Medio-baja"
"Negrete",8307,6.03573203479818,"Medio-alta"
"Quilaco",8308,6.28323622448951,"Medio-alta"
"Quilleco",8309,3.67519013724729,"Medio-alta"
"San Rosendo",8310,2.56234631458698,"Medio-alta"
"Santa Barbara",8311,6.33081860047123,"Medio-alta"
"Tucapel",8312,-1.1360157543526,"Medio-baja"
"Yumbel",8313,2.79296976228934,"Medio-alta"
"Alto Biobio",8314,34.7624795113298,"Alta"
"Temuco",9101,-9.39612846193728,"Medio-baja"
"Carahue",9102,14.4933781049595,"Alta"
"Cunco",9103,7.48340573818836,"Medio-alta"
"Curarrehue",9104,18.8738512457414,"Alta"
"Freire",9105,13.003865849681,"Alta"
"Galvarino",9106,23.9944894490823,"Alta"
"Gorbea",9107,4.70420844596548,"Medio-alta"
"Lautaro",9108,4.37967491689073,"Medio-alta"
"Loncoche",9109,8.60007360558768,"Medio-alta"
"Melipeuco",9110,13.7407266097315,"Alta"
"Nueva Imperial",9111,10.9230232890143,"Alta"
"Padre las Casas",9112,6.4959964904729,"Medio-alta"
"Perquenco",9113,11.4422064338487,"Alta"
"Pitrufquen",9114,3.80290581733309,"Medio-alta"
"Pucon",9115,-2.08948239602194,"Medio-baja"
"Saavedra",9116,26.1934719692814,"Alta"
"Teodoro Schmidt",9117,19.1487545404993,"Alta"
"Tolten",9118,17.0231245140548,"Alta"
"Vilcun",9119,10.2696909552798,"Alta"
"Villarrica",9120,0.308151583135894,"Medio-alta"
"Cholchol",9121,22.7723948064773,"Alta"
"Angol",9201,-1.95511303442228,"Medio-baja"
"Collipulli",9202,8.71524759216089,"Medio-alta"
"Curacautin",9203,2.19120656862686,"Medio-alta"
"Ercilla",9204,19.1605886229429,"Alta"
"Lonquimay",9205,18.3611318480573,"Alta"
"Los Sauces",9206,10.5428164668539,"Alta"
"Lumaco",9207,16.7762450629181,"Alta"
"Puren",9208,11.0705981968609,"Alta"
"Renaico",9209,4.83882859349005,"Medio-alta"
"Traiguen",9210,9.17525926128572,"Medio-alta"
"Victoria",9211,3.74265887212802,"Medio-alta"
"Puerto Montt",10101,-7.1941913404551,"Medio-baja"
"Calbuco",10102,6.41364477598763,"Medio-alta"
"Cochamo",10103,7.14617000237405,"Medio-alta"
"Fresia",10104,6.81077151703981,"Medio-alta"
"Frutillar",10105,-0.453526153550289,"Medio-baja"
"Los Muermos",10106,5.97752522811376,"Medio-alta"
"Llanquihue",10107,-0.557183875060708,"Medio-baja"
"Maullin",10108,5.39966690445573,"Medio-alta"
"Puerto Varas",10109,-8.79968507240105,"Medio-baja"
"Castro",10201,-3.31075393528349,"Medio-baja"
"Ancud",10202,1.42217155547837,"Medio-alta"
"Chonchi",10203,5.60541367328455,"Medio-alta"
"Curaco de Velez",10204,9.90648686513796,"Alta"
"Dalcahue",10205,3.91229131455871,"Medio-alta"
"Puqueldon",10206,11.7508894852501,"Alta"
"Queilen",10207,16.0404964430611,"Alta"
"Quellon",10208,4.51101467701238,"Medio-alta"
"Quemchi",10209,9.59417049926528,"Medio-alta"
"Quinchao",10210,14.8924687954989,"Alta"
"Osorno",10301,-5.05245466148461,"Medio-baja"
"Puerto Octay",10302,8.36620388738388,"Medio-alta"
"Purranque",10303,4.47285948604631,"Medio-alta"
