0_NDVI,10_NDVI,11_NDVI,12_NDVI,13_NDVI,14_NDVI,15_NDVI,16_NDVI,17_NDVI,18_NDVI,19_NDVI,1_NDVI,20_NDVI,2_NDVI,3_NDVI,4_NDVI,5_NDVI,6_NDVI,7_NDVI,8_NDVI,9_NDVI,COD_COMUNA,NOM_COM,NOM_PROV,NOM_REG
0.3106349852,0.2568474718,0.23806560410000002,0.2399238498,0.28703358830000003,0.2757314911,0.28160950419999997,0.24741118259999997,0.20887774559999997,0.2525394313,0.21150474589999999,0.26948840350000003,0.2402754699,0.29799679900000003,0.3062145428,0.3064559809,0.2726424352,0.2978443288,0.29106127940000004,0.2717916326,0.258522827,5402,Cabildo,Petorca,Valparaíso
0.42702545140000003,0.3847271465,0.3813502884,0.3703965911,0.41459485100000004,0.3941369573,0.4419754508,0.373186755,0.30948319209999997,0.3772489108,0.3130825069,0.3918315169,0.3724578482,0.4171540167,0.4328639383,0.4251235601,0.3723497113,0.417184776,0.4081967368,0.39994545280000005,0.3802314593,5403,Papudo,Petorca,Valparaíso
0.44716707399999994,0.45490023199999996,0.4015746858,0.41532804939999995,0.46216038420000005,0.4241379887,0.47072964089999997,0.40462060660000004,0.3267785598,0.40416282919999996,0.3202242225,0.403855368,0.40711094400000003,0.44576786,0.4665254152,0.4526485565,0.38606430059999997,0.4589080403,0.4323698946,0.4391588871,0.4005271324,5405,Zapallar,Petorca,Valparaíso
0.4686014645,0.5194060292,0.4507520348,0.4658702344,0.5055175767,0.4809833337,0.4965063115,0.44354727999999993,0.3716728784,0.443780574,0.3915121187,0.43326244150000004,0.4162065039,0.4893666958,0.4989584635,0.5036671298000001,0.4398967005,0.4879599196,0.48735813029999997,0.48267016110000005,0.4599981554,5503,Hijuelas,Quillota,Valparaíso
0.5015116274,0.5891357852,0.498711439,0.5225282503,0.5596693341,0.5314528453,0.5479636042,0.4997920739,0.42279545690000003,0.490078123,0.43861362589999997,0.4888896164,0.49438342739999996,0.5280634609,0.546749056,0.5505606332,0.5048987947,0.5373297646,0.5352446846,0.5330747491,0.5170639726999999,5504,La Cruz,Quillota,Valparaíso
0.42535801289999997,0.46229941609999997,0.3810395695,0.40965012399999995,0.46109589450000005,0.4312451779,0.45769408599999994,0.3911129181,0.30162128309999997,0.3840466614,0.325488535,0.3827644585,0.3792252481,0.4303564364,0.45924342020000003,0.45096139030000004,0.37640163120000003,0.4373361336,0.4177318881,0.4186872845,0.38517293469999997,5506,Nogales,Quillota,Valparaíso
0.4876551945,0.539550324,0.44288357089999997,0.47017730609999997,0.5159959395,0.4768595567,0.5012530668999999,0.4349955307,0.3543771391,0.43361195150000004,0.3641673675,0.460038294,0.43202166500000005,0.4970976834,0.5151604972,0.512268035,0.45815508550000006,0.5008620667,0.4874901004,0.4840216487,0.4507107193,5501,Quillota,Quillota,Valparaíso
0.45313052600000003,0.5047678748000001,0.4299509575,0.43764675880000004,0.48468418519999995,0.4610701427,0.46962037650000005,0.42248144860000003,0.35914647450000003,0.4159084446,0.3658793875,0.42476725109999997,0.404676579,0.4658060216,0.47317734549999996,0.4752026197,0.4323547314,0.469972405,0.4686021353,0.45908255449999996,0.4467892009,5502,Calera,Quillota,Valparaíso
0.42531169280000003,0.4222690947,0.39000991479999997,0.43711510950000004,0.4617846252,0.4294951041,0.4775824949,0.4107071006,0.341091632,0.41941028329999996,0.3319560766,0.3911429619,0.4276972549,0.43493881170000004,0.4650524117,0.44921009279999996,0.3923655504,0.445221926,0.4126035934,0.42613687920000004,0.39562947439999996,5105,Puchuncaví,Valparaíso,Valparaíso
0.38968569659999996,0.349140824,0.3624937693,0.3789186579,0.40509248400000003,0.3820682085,0.4254319179,0.361975604,0.3128655658,0.38267060999999997,0.3088991388,0.3673141087,0.37500141600000003,0.3963141339,0.412002881,0.403897943,0.3736250794,0.4049435485,0.380150244,0.3871594521,0.3689811487,5107,Quintero,Valparaíso,Valparaíso
0.4244097224,0.39698895819999996,0.3486381992,0.3523770892,0.4160300196,0.3885161441,0.41892945639999996,0.3584394855,0.2810095981,0.3647166129,0.2947225724,0.3735944801,0.3459464566,0.4088042344,0.44023759300000004,0.42639929490000006,0.36110355580000003,0.41483175149999996,0.403525446,0.3901119133,0.3659063094,5401,La Ligua,Petorca,Valparaíso
0.265415538,0.2042713223,0.1873833566,0.1939011906,0.24080629850000002,0.2321652064,0.2442138263,0.21379287100000002,0.18119400700000002,0.2194720092,0.1795231338,0.2279051426,0.2136873037,0.2483372354,0.24848260009999998,0.2519865573,0.23147664850000002,0.2427217196,0.2406060799,0.2247558545,0.22351387759999997,5404,Petorca,Petorca,Valparaíso
0.4096369237,0.47906742409999997,0.46283575,0.4676769088,0.49523669550000005,0.4831810206,0.4765052734,0.4547528483,0.42851498410000005,0.47286255629999996,0.4289497461,0.3763301097,0.4466131114,0.41401483710000003,0.414229194,0.4552831188,0.4303790512,0.44865527860000004,0.44883595560000006,0.4498124549,0.4531226215,5704,Panquehue,San Felipe,Valparaíso
0.37287673650000003,0.3491409472,0.3209674679,0.3142302257,0.3696196344,0.3517710839,0.3572383456,0.3272741946,0.2819977624,0.3343404086,0.28453947760000003,0.33436405810000003,0.3114227825,0.3677700572,0.3689110753,0.384488475,0.33631240360000003,0.3601719109,0.3546004883,0.34440668329999996,0.3284548952,5702,Catemu,San Felipe,Valparaíso
