0_NDVI,10_NDVI,11_NDVI,12_NDVI,13_NDVI,14_NDVI,15_NDVI,16_NDVI,17_NDVI,18_NDVI,19_NDVI,1_NDVI,20_NDVI,2_NDVI,3_NDVI,4_NDVI,5_NDVI,6_NDVI,7_NDVI,8_NDVI,9_NDVI,COD_COMUNA,NOM_COM,NOM_PROV,NOM_REG
4557.514763,4114.648859,4280.540496,3540.587919,3336.411285,4981.395029,4820.725875,3302.191964,2623.717013,3556.29308,2811.712574,4250.797925,3356.640929,4249.286396,5134.160932,4624.96595,3794.126854,4755.924388,4119.56855,3957.416813,3491.478283,5303,Rinconada,Los Andes,Valparaíso
656.2317856,1096.88509,894.3255229,922.2536625,724.3718958,1007.570004,1212.251615,989.630039,1113.935764,508.8639539,1021.637292,920.1772767,491.6443859,994.702404,956.5208205,882.7228218,516.4297272,769.6015154,646.4949306,861.3292709,585.9751171,5304,San Esteban,Los Andes,Valparaíso
4617.462707,4142.852303,4116.104139,3752.84556,3596.417596,4559.012213,4708.747201,3725.85993,3168.179082,3599.485881,3192.809341,4311.032286,3396.261777,4463.872468,4802.773978,4561.484299,3981.249168,4659.903719,4255.402821,4203.350938,3818.421931,5701,San Felipe,San Felipe,Valparaíso
3350.384738,3183.186155,3176.043385,2751.146161,2577.816715,3629.754322,3736.069174,2855.036785,2412.180525,2533.639037,2645.864884,3401.957183,2378.890536,3297.549867,3766.020939,3467.335217,2884.985584,3445.950294,3061.317299,3190.591349,2747.221221,5706,Santa MarÃ­a,San Felipe,Valparaíso
3235.599927,3595.074849,3385.306395,2894.28975,2434.074389,3942.447267,3764.529264,2704.551669,2208.169045,2555.157303,2757.173524,3415.10487,2303.804019,3313.804201,3961.662045,3408.823646,2768.198666,3565.264389,3019.185167,3044.092069,2684.823963,5302,Calle Larga,Los Andes,Valparaíso
6480.505826,6189.191869,6426.476446,5863.695575,5567.050465,6736.283054,6712.830664,5935.555499,4746.285825,4733.24732,4323.496959,6268.951662,5651.041414,6496.356998,6683.712046,6437.108772,5977.754047,6271.075335,6194.215927,6006.819159,5756.059293,5803,OlmuÃ©,Quillota,Valparaíso
6214.67448,6167.679143,6422.11445,5796.775164,5420.962173,6573.113474,6570.435056,5950.568221,5047.170974,4713.129681,4410.126469,6210.270411,5526.983026,6313.300324,6652.138845,6291.065512,5847.960741,6108.308437,6079.880215,5960.22881,5660.957511,5801,QuilpuÃ©,ValparaÃ­so,Valparaíso
5964.655849,5870.17548,6096.349002,5256.009718,4817.442159,6223.698107,6196.495605,5156.250838,4420.115883,4594.771772,3747.935558,6026.519338,5186.27252,6295.537691,6504.462978,6071.515582,5487.702462,5960.871076,5693.903461,5833.637329,5431.52265,5804,Villa Alemana,ValparaÃ­so,Valparaíso
6425.914546,6470.448284,6613.146012,5998.352213,5226.892652,6794.904914,6872.529889,5840.16089,4830.306146,5104.795107,3991.361307,6500.866166,5889.539645,6707.729485,6879.419166,6523.371742,5862.102139,6416.508687,6126.894396,6179.992374,5906.720658,5802,Limache,Quillota,Valparaíso
6411.661314,6363.383598,6493.105935,6251.390983,5849.631262,6743.77426,6677.268407,6231.437487,5654.43487,5123.346958,5386.598936,6693.519346,5690.896375,6667.917033,6734.46662,6616.591228,6284.562912,6244.103039,6114.234335,6032.054556,6029.879315,5101,ValparaÃ­so,ValparaÃ­so,Valparaíso
6029.627034,5996.451634,5944.085392,5578.150698,4774.857623,6378.309293,6475.438087,5497.821217,4496.59325,4850.152884,3869.570199,6284.394893,5502.193122,6421.605825,6585.008273,6272.752244,5588.869041,6200.705653,5769.695447,5737.320712,5543.03845,5103,ConcÃ³n,ValparaÃ­so,Valparaíso
5177.575967,5064.773007,5291.477838,5021.512646,4565.68289,5533.482449,5556.60762,4924.492944,4379.798317,4335.777679,4165.892101,5238.981704,4776.194898,5259.562686,5592.698164,5480.121933,4919.942135,5356.975433,5058.865512,5148.855998,5008.413071,5109,ViÃ±a del Mar,ValparaÃ­so,Valparaíso
6444.570435,6359.178549,6352.247124,6050.653134,5429.763965,6753.945163,6778.703481,5950.272036,5231.445325,5314.523745,4956.122819,6388.521194,5762.327159,6479.011183,6922.622656,6375.349962,5667.146329,6286.467558,5978.673735,5972.85892,5938.964194,5602,Algarrobo,San Antonio,Valparaíso
6497.656001,6518.376172,6619.619603,6056.06336,5355.297845,6896.221364,7144.393408,6051.996446,5105.265302,5561.745864,4929.115115,6618.671875,6129.311624,6897.86046,7148.040574,6671.441415,6096.848797,6642.230946,6281.114896,6036.20079,5978.757327,5603,Cartagena,San Antonio,Valparaíso
6404.013948,6338.237359,6424.018877,6201.392046,5497.371527,6633.280917,6665.368776,6029.208368,5156.862285,5478.333738,5257.453793,6487.719027,5755.664888,6505.883429,6817.275237,6611.519422,6195.159946,6368.705605,6175.749017,6241.860137,6015.923262,5605,El Tabo,San Antonio,Valparaíso
6299.364947,6581.429114,6422.040436,6510.275315,5367.578461,6772.837273,7016.482985,5832.433184,5260.316554,5691.122691,5126.590493,6637.618784,6171.522322,6970.81208,6979.071178,6498.936284,5861.346587,6589.8378,6049.064016,6213.901574,6022.791651,5601,San Antonio,San Antonio,Valparaíso
6218.908078,6028.025635,6025.76763,5717.883627,5398.627114,6176.479544,6232.230593,5782.639467,5193.301703,5167.886113,5333.520935,6211.781985,5356.04114,6207.315948,6411.083578,6259.714207,5660.282928,5844.430651,5911.847363,5863.979685,5834.495493,5604,El Quisco,San Antonio,Valparaíso
6699.613515,6791.078128,6874.730082,6577.436302,5856.387308,7176.887051,7137.199057,6369.539733,5715.465219,5624.386272,5207.316613,6935.094379,6231.846886,7157.134026,7300.300886,6911.864189,6270.437075,6723.143618,6468.852322,6605.787153,6360.865583,5102,Casablanca,ValparaÃ­so,Valparaíso
6341.889673,6587.043073,6548.35768,6777.99433,5639.774648,6916.017713,7024.343081,6042.517267,5828.39491,5940.175911,6039.511782,6543.120823,6506.476271,6930.929635,6919.028087,6588.311575,5994.271733,6604.585546,6200.403593,6225.868994,6184.503031,5606,Santo Domingo,San Antonio,Valparaíso
5586.669386,5492.339433,5412.87842,4823.694846,4297.147225,5819.048591,6056.628087,4302.710585,3515.408182,4207.336962,2862.993391,5316.630427,4600.427566,5600.894338,6141.65953,5439.507925,4708.415467,5808.783464,5050.738596,5090.189385,4678.111199,1330,Tiltil,Chacabuco,Metropolitana de Santiago
5505.373155,5222.061051,5152.17955,4669.20138,3774.344948,5466.090203,5524.327575,4290.122429,3194.693272,4287.120919,3045.467779,5375.020474,4498.644507,5436.738062,5754.184267,5412.759056,4674.71593,5620.795912,4951.276902,4866.641019,4232.112879,1312,Pudahuel,Santiago,Metropolitana de Santiago
4220.253607,4284.447503,4207.380894,3872.200349,3194.246305,4770.513613,4901.721462,3156.923177,2810.553021,3484.928891,2733.904563,4313.764933,3242.619755,4538.774203,4947.011363,4361.486794,3623.016832,4746.872389,3901.907386,3966.299772,3525.90281,1330,Colina,Chacabuco,Metropolitana de Santiago
5660.731348,5514.20643,5400.55717,4940.277966,4236.34487,5752.505606,5970.348239,4502.72389,3701.99333,4481.651162,3319.039122,5454.239631,4893.889326,5759.122461,6148.028817,5626.030609,4831.97834,5759.333939,5194.684759,5153.69475,4670.847144,1330,Lampa,Chacabuco,Metropolitana de Santiago
4530.752965,4024.426113,4111.586697,3819.294427,2972.477534,4414.995229,4583.6427,3213.103147,2586.107177,3322.977668,2217.593046,4289.190843,3331.828468,4736.946706,5057.927538,4534.871004,3664.698065,4697.833561,4086.093084,4186.766545,3470.317111,1312,Quilicura,Santiago,Metropolitana de Santiago
2161.488391,1763.369451,1945.67833,1845.445501,1656.09282,1951.442169,1905.706009,1649.900516,1571.395088,1799.889552,1491.716704,1940.919542,1674.324573,1999.243309,2199.067666,2055.641675,1828.184994,2070.457379,1857.220144,2493.995647,1708.148715,1310,ConchalÃ­,Santiago,Metropolitana de Santiago
3315.118317,2910.597513,3027.904799,2784.984183,2143.548949,3061.871131,3303.180943,2419.765186,1984.624545,2500.666581,1744.907838,3167.425645,2597.470678,3391.1565,3663.962437,3451.329331,3059.527118,3420.476135,2994.557724,3184.928171,2650.320556,1312,Renca,Santiago,Metropolitana de Santiago
4798.031363,4786.282047,4755.410941,4562.008294,3574.119586,5205.242872,5576.785652,3739.629059,3798.206242,4255.42925,3221.650478,4731.46595,4201.030656,5294.37556,5549.297705,4849.390652,4386.217152,5294.974905,4447.710943,4771.929968,4056.732304,1310,Huechuraba,Santiago,Metropolitana de Santiago
1773.426759,1682.910393,1808.864294,1668.358702,1597.088789,1740.593562,1682.072149,1560.044599,1523.154528,1578.813148,1480.570513,1752.990589,1459.165439,1806.206083,1743.456628,1843.993453,1607.704719,1704.953219,1682.457174,2144.749318,1687.752591,1311,Lo Prado,Santiago,Metropolitana de Santiago
2390.002141,2226.184896,2448.12338,2127.346759,1695.382581,2106.880671,2144.745833,1792.421528,1691.163715,1950.974942,1553.777951,2326.960822,1956.365278,2417.595775,2457.948553,2496.294444,2245.446007,2481.46875,2255.607755,2398.705035,2004.709028,1310,Cerro Navia,Santiago,Metropolitana de Santiago
1931.098256,1604.525182,1713.006902,1578.782923,1457.261705,1653.126422,1576.870733,1466.022431,1447.620826,1506.592753,1374.085945,1779.876516,1497.885422,1735.58837,1706.452481,1794.997389,1583.901931,1726.139759,1657.85609,1885.887708,1602.427672,1312,Quinta Normal,Santiago,Metropolitana de Santiago
1945.567049,1612.626628,1609.990707,1573.947542,1456.524666,1718.428522,1582.494789,1407.284089,1394.038127,1544.94346,1369.038996,1774.062272,1431.753517,1736.947803,1807.538822,1823.747264,1638.286955,1770.009032,1671.070523,2199.601529,1638.86651,1310,Independencia,Santiago,Metropolitana de Santiago
2874.674716,2549.235074,2711.751825,2582.868987,2420.487322,2922.16331,2864.196389,2424.783601,2431.100574,2460.061987,2241.537544,2736.98553,2526.436025,2696.122735,2899.72295,2781.466367,2735.440718,2979.67136,2629.206036,2957.999316,2486.915428,1312,Recoleta,Santiago,Metropolitana de Santiago
2908.623269,2643.524402,2678.734523,2380.913177,2015.793483,2828.608393,2791.525318,2129.576954,1802.767307,2007.928253,1622.852987,2860.489787,2154.373269,2906.621724,2709.243449,2739.652563,2224.339884,3042.938437,2489.135828,2574.394725,2275.151533,1310,Cerrillos,Santiago,Metropolitana de Santiago
4800.085325,4648.399833,4683.339163,4204.440943,3408.077565,4795.421077,5002.909447,3879.369545,3090.115154,4118.792045,3026.066207,4799.713154,4312.967301,4995.727337,4946.047224,4845.050919,4067.673902,4886.670028,4395.997167,4272.228293,3894.423691,1311,MaipÃº,Santiago,Metropolitana de Santiago
2097.010018,1902.489246,1977.363388,1896.756655,1647.306782,1892.349657,1952.184847,1727.830181,1599.237179,1733.189505,1520.577659,2000.862757,1901.660782,2007.93306,1881.825452,2042.349902,1763.376489,1985.986339,1907.226461,1959.412849,1786.25641,1310,EstaciÃ³n Central,Santiago,Metropolitana de Santiago
2566.581102,2282.024877,2511.684441,2427.130559,2207.065893,2580.953518,2460.429087,2399.54109,2263.342741,2430.269411,2205.695523,2508.949576,2313.93645,2497.696787,2651.260152,2556.4749,2523.343597,2507.856798,2367.954485,2776.385022,2363.421798,1312,Providencia,Santiago,Metropolitana de Santiago
2231.142443,2062.82546,2155.61641,2077.751432,1934.678496,2209.16256,2070.119236,2012.316079,1962.889391,2093.819658,1846.226944,2153.644477,1924.67228,2161.106502,2187.33322,2208.293513,2107.29355,2205.126206,2059.921866,2402.375753,2107.759531,1312,Ã‘uÃ±oa,Santiago,Metropolitana de Santiago
1471.671528,1282.127899,1363.102223,1317.283121,1232.827535,1371.466601,1324.142054,1324.438317,1313.433936,1399.163172,1224.078269,1374.574952,1326.517624,1407.448471,1288.972146,1403.025549,1252.263851,1379.379165,1356.840854,1576.997594,1293.369366,1310,Santiago,Santiago,Metropolitana de Santiago
4253.766122,4104.226836,4053.880921,3931.243737,3563.998332,4399.368894,4187.132755,3786.236862,3575.723797,3976.178452,3546.7997,4257.846268,3698.163331,4313.978801,4462.830387,4311.809132,3984.920243,4303.866652,3958.807816,4279.442536,3726.456397,1313,Vitacura,Santiago,Metropolitana de Santiago
